feature,importance_mean,importance_std
deposit_type_Non Refund,0.06579084832060614,0.0010961650765602075
market_segment_Online TA,0.06274799521292199,0.0012446041328726973
country_PRT,0.06264703656631526,0.00112288742066764
total_of_special_requests,0.039889321974228134,0.000807595390040357
lead_time,0.039306607784248035,0.0014928802850259035
required_car_parking_spaces,0.03639812595725448,0.001371900868359298
room_changed,0.015030216245371663,0.0008940663848582442
customer_type_Transient,0.010268147965433827,0.00047058502792334276
booking_changes,0.00870711440438302,0.0003028728343507323
previous_bookings_not_canceled,0.004751716924831051,0.0005435463786113651
country_DEU,0.004436610468639779,0.0002508657995623015
market_segment_Offline TA/TO,0.004419130784920655,0.00045671295878401915
customer_type_Transient-Party,0.0034933988962464247,0.00032768229807859597
adr,0.0027285944152459552,0.0003888743041286389
market_segment_Groups,0.0019524441987091134,0.00030960214129548326
country_ESP,0.0018673760416970109,0.00017746607530356136
cancel_rate_history,0.0011114012234160308,0.0001692856760420196
market_segment_Direct,0.0010945762339651278,5.947337572868564e-05
adults,0.001042662680202766,5.59151880693527e-05
country_FRA,0.0009581639330060177,0.00010342052256423934
